END_ID,START_ID,comment,acceptanceProbability
2-s2.0-85182825734,57575711000,Needs more clarity.,0.75
2-s2.0-85182825734,24450879300,Great paper!,0.011
2-s2.0-85182825734,58788457900,Great paper!,0.873
2-s2.0-85184294976,57216908728,Needs more clarity.,0.85
2-s2.0-85184294976,57211880651,Great paper!,0.155
2-s2.0-85184294976,57226088926,Great paper!,0.541
2-s2.0-85185942630,58842074500,Interesting findings.,0.849
2-s2.0-85185942630,57257067000,Interesting findings.,0.661
2-s2.0-85185942630,57201310483,Great paper!,0.767
2-s2.0-85185502827,35243989500,Great paper!,0.657
2-s2.0-85185502827,6603774294,Interesting findings.,0.808
2-s2.0-85185502827,57198987076,Great paper!,0.386
2-s2.0-85185486376,57201306756,Interesting findings.,0.688
2-s2.0-85185486376,54781684800,Interesting findings.,0.857
2-s2.0-85185486376,26659347300,Needs more clarity.,0.502
2-s2.0-85185666260,7406373911,Interesting findings.,0.108
2-s2.0-85185666260,58818132000,Needs more clarity.,0.06
2-s2.0-85185666260,57212953492,Great paper!,0.287
2-s2.0-85183608237,57003047000,Needs more clarity.,0.293
2-s2.0-85183608237,58730733600,Interesting findings.,0.903
2-s2.0-85183608237,58461095500,Interesting findings.,0.774
2-s2.0-85183730967,16551287000,Great paper!,0.974
2-s2.0-85183730967,36663453900,Interesting findings.,0.595
2-s2.0-85183730967,58370121000,Great paper!,0.668
2-s2.0-85185144310,57211617177,Great paper!,0.66
2-s2.0-85185144310,56012833500,Great paper!,0.085
2-s2.0-85185144310,57726930900,Interesting findings.,0.688
2-s2.0-85184415531,55256490000,Needs more clarity.,0.491
2-s2.0-85184415531,57208121368,Great paper!,0.991
2-s2.0-85184415531,35119811000,Great paper!,0.383
2-s2.0-85183612104,57211170893,Needs more clarity.,0.857
2-s2.0-85183612104,7003592271,Interesting findings.,0.253
2-s2.0-85183612104,57868927800,Needs more clarity.,0.734
2-s2.0-85183353537,58562443200,Great paper!,0.152
