ID,name
0000000000,Health Information Science and Systems
0000000001,Humanities and Social Sciences Communications
0000000002,Nature Communications
0000000003,Nano-Micro Letters
0000000004,Aging Clinical and Experimental Research
0000000005,Scientific Reports
0000000006,npj Clean Water
0000000007,Communications Biology
0000000008,Journal of Experimental and Clinical Cancer Research
0000000009,International Journal of Computational Intelligence Systems
0000000010,Journal of Cloud Computing
0000000011,Cell Discovery
0000000012,Light: Science and Applications
0000000013,npj Regenerative Medicine
0000000014,Malaria Journal
0000000015,BMC Health Services Research
0000000016,Communications in Transportation Research
0000000017,BMC Public Health
0000000018,npj Quantum Information
0000000019,BMC Pulmonary Medicine
0000000020,World Journal of Surgical Oncology
0000000021,npj Digital Medicine
0000000022,Scientific Data
0000000023,Genome Biology
0000000024,BMC Genomics
0000000025,Clinical and Experimental Medicine
0000000026,BMC Medicine
0000000027,Nano Convergence
0000000028,European Radiology Experimental
0000000029,EJNMMI Research
0000000030,Geomechanics and Geophysics for Geo-Energy and Geo-Resources
0000000031,Journal of Chinese Sociology
0000000032,Experimental Hematology and Oncology
0000000033,Nanomanufacturing and Metrology
0000000034,BMC Surgery
0000000035,BMC Medical Informatics and Decision Making
0000000036,npj Aging
0000000037,Journal of Environmental Sciences (China)
0000000038,Journal of Big Data
0000000039,Expert Systems with Applications
0000000040,"Eurasip Journal on Audio, Speech, and Music Processing"
0000000041,Environmental Science and Ecotechnology
0000000042,Journal of Integrated Science and Technology
0000000043,Structural Change and Economic Dynamics
0000000044,Tsinghua Science and Technology
0000000045,BMC Oral Health
0000000046,Cardiovascular Diabetology
0000000047,Science Immunology
0000000048,Computational and Structural Biotechnology Journal
0000000049,BMC Psychology
0000000050,BMC Geriatrics
0000000051,Communications Earth and Environment
0000000052,Genome Medicine
0000000053,Chinese Journal of Mechanical Engineering (English Edition)
0000000054,BMC Infectious Diseases
0000000055,Geoscience Letters
0000000056,Frontiers of Computer Science
0000000057,npj Precision Oncology
0000000058,International Journal of Intelligent Systems and Applications in Engineering
0000000059,Journal of Advanced Research in Applied Sciences and Engineering Technology
0000000060,npj Parkinson's Disease
0000000061,Microbiome
0000000062,Financial Innovation
0000000063,European Journal of Medical Research
0000000064,Engineered Regeneration
0000000065,Journal of Materials Science and Technology
0000000066,Separation and Purification Technology
0000000067,Optics and Laser Technology
0000000068,Engineering Applications of Artificial Intelligence
0000000069,Case Studies in Construction Materials
0000000070,IEEE Transactions on Applied Superconductivity
0000000071,Food Chemistry
0000000072,Review of Economic Dynamics
0000000073,Journal of Turbomachinery
0000000074,Journal of Building Engineering
0000000075,Learning and Instruction
0000000076,Astroparticle Physics
0000000077,Sustainable Horizons
0000000078,Carbohydrate Polymers
0000000079,International Journal of Heat and Mass Transfer
0000000080,Information Fusion
0000000081,Precision Engineering
0000000082,Journal of Mathematical Analysis and Applications
0000000083,Applied Catalysis B: Environmental
0000000084,Carbon Capture Science and Technology
0000000085,Nano Research Energy
0000000086,Fuel
0000000087,International Journal of Electrical Power and Energy Systems
0000000088,Frontiers of Physics
0000000089,Manufacturing Letters
0000000090,Energy Reports
0000000091,Synthetic and Systems Biotechnology
0000000092,Energy and Built Environment
0000000093,Atmospheric Research
0000000094,Applied Ergonomics
0000000095,Annals of Nuclear Energy
0000000096,Journal of Energy Chemistry
0000000097,Journal of Mechanisms and Robotics
0000000098,Journal of Combinatorial Theory. Series B
0000000099,Acta Mechanica Sinica/Lixue Xuebao
0000000100,Experimental and Computational Multiphase Flow
0000000101,IEEE Transactions on Industrial Electronics
0000000102,Environmental Research
0000000103,Journal of the European Ceramic Society
0000000104,Journal of Food Engineering
0000000105,Applied Surface Science
0000000106,Journal of Differential Equations
0000000107,Annals of PDE
0000000108,Science of Remote Sensing
0000000109,Talanta
0000000110,Frontiers of Chemical Science and Engineering
0000000111,Desalination
0000000112,Bioelectrochemistry
0000000113,Journal of Physics D: Applied Physics
0000000114,Journal of Computational and Applied Mathematics
0000000115,Chemical Engineering Science
0000000116,Underground Space (new)
0000000117,Autonomous Agents and Multi-Agent Systems
0000000118,Physics Reports
0000000119,Neural Regeneration Research
0000000120,Journal of Physics Condensed Matter
0000000121,Journal of Colloid and Interface Science
0000000122,Nanotechnology
0000000123,Marine Structures
0000000124,Frontiers of Environmental Science and Engineering
0000000125,Tribology International
0000000126,Landscape and Urban Planning
0000000127,Measurement Science and Technology
0000000128,Friction
0000000129,Journal of Materials Processing Technology
0000000130,Pattern Recognition
0000000131,Accident Analysis and Prevention
0000000132,Thin-Walled Structures
0000000133,Progress in Energy and Combustion Science
0000000134,Applied Energy
0000000135,Nano Energy
0000000136,"Resources, Conservation and Recycling"
0000000137,Applied Thermal Engineering
0000000138,Composites Part A: Applied Science and Manufacturing
0000000139,Reliability Engineering and System Safety
0000000140,Ophthalmology Science
0000000141,Fluid Phase Equilibria
0000000142,Computers in Human Behavior
0000000143,Journal of Computing and Information Science in Engineering
0000000144,Journal of Parallel and Distributed Computing
0000000145,Optics Communications
0000000146,eTransportation
0000000147,Natural Hazards Review
0000000148,International Journal of Mechanical Sciences
0000000149,Dyes and Pigments
0000000150,Science of Computer Programming
0000000151,Optics and Lasers in Engineering
0000000152,Entertainment Computing
0000000153,Ecological Informatics
0000000154,Atmospheric Pollution Research
0000000155,Medical Image Analysis
0000000156,Journal of Hydraulic Engineering
0000000157,Journal of the Mechanics and Physics of Solids
0000000158,Bioactive Materials
0000000159,Electric Power Systems Research
0000000160,Journal of Luminescence
0000000161,International Journal of Thermal Sciences
0000000162,Applied Mathematical Modelling
0000000163,Journal of Construction Engineering and Management
0000000164,Colloids and Surfaces A: Physicochemical and Engineering Aspects
0000000165,Energy
0000000166,Applied Mathematics and Computation
0000000167,Journal of Algebra
0000000168,Journal of Energy Storage
0000000169,Catena
0000000170,International Journal of Solids and Structures
0000000171,Journal of Industrial and Engineering Chemistry
0000000172,Science of the Total Environment
0000000173,Sensors and Actuators A: Physical
0000000174,Neurocomputing
0000000175,Journal of Hazardous Materials
0000000176,Composite Structures
0000000177,Signal Processing
0000000178,Linear Algebra and Its Applications
0000000179,Acta Psychologica Sinica
0000000180,Knowledge-Based Systems
0000000181,Cancer Letters
0000000182,European Journal of Operational Research
0000000183,IEEE Journal of Selected Topics in Quantum Electronics
0000000184,Engineering Structures
0000000185,Sensors and Actuators B: Chemical
0000000186,Particuology
0000000187,Swarm and Evolutionary Computation
0000000188,Theoretical and Applied Fracture Mechanics
0000000189,Composites Part B: Engineering
0000000190,Water Research
0000000191,Journal of Power Sources
0000000192,Journal of Constructional Steel Research
0000000193,Internet of Things (Netherlands)
0000000194,Advanced Engineering Informatics
0000000195,Sustainable Cities and Society
0000000196,National Science Review
0000000197,Chemical Engineering Journal
0000000198,Life Metabolism
0000000199,Tunnelling and Underground Space Technology
0000000200,Journal of Molecular Structure
0000000201,Journal of Environmental Chemical Engineering
0000000202,Inverse Problems
0000000203,Journal of Geophysics and Engineering
0000000204,Computers and Electronics in Agriculture
0000000205,Engineering Failure Analysis
0000000206,Energy Policy
0000000207,Analysis and Mathematical Physics
0000000208,International Journal of Electrical and Computer Engineering
0000000209,Bulletin of Electrical Engineering and Informatics
0000000210,Combustion and Flame
0000000211,Bioorganic Chemistry
0000000212,International Journal of Multiphase Flow
0000000213,Microchemical Journal
0000000214,Renewable Energy
0000000215,International Journal of Applied Earth Observation and Geoinformation
0000000216,Journal of Alloys and Compounds
0000000217,Journal of Asian Economics
0000000218,Journal of Non-Crystalline Solids
0000000219,"The Belt and Road City: Geopolitics, Urbanization, and China's Search for a New International Order"
0000000220,Journal of Banking and Finance
0000000221,Automation in Construction
0000000222,Waste Management
0000000223,NDT and E International
0000000224,Corrosion Science
0000000225,Journal of Loss Prevention in the Process Industries
0000000226,Statistics and Computing
0000000227,Ad Hoc Networks
0000000228,Computerized Medical Imaging and Graphics
0000000229,Soil Dynamics and Earthquake Engineering
0000000230,Sustainable Energy Technologies and Assessments
0000000231,IEEE Robotics and Automation Letters
0000000232,Safety Science
0000000233,Cold Regions Science and Technology
0000000234,Mechanical Systems and Signal Processing
0000000235,Public Health
0000000236,Computers and Geotechnics
0000000237,Neural Networks
0000000238,Aerospace Science and Technology
0000000239,Computer Methods and Programs in Biomedicine
0000000240,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment"
0000000241,Chinese Journal of Physics
0000000242,Progress in Nuclear Energy
0000000243,Gongcheng Kexue Xuebao/Chinese Journal of Engineering
0000000244,Teaching and Teacher Education
0000000245,Biochemical and Biophysical Research Communications
0000000246,IEEE Transactions on Power Electronics
0000000247,Journal of Hydrology: Regional Studies
0000000248,Applied Radiation and Isotopes
0000000249,Journal of Computational Physics
0000000250,Artificial Intelligence
0000000251,Progress in Organic Coatings
0000000252,Journal of Affective Disorders
0000000253,Computers and Operations Research
0000000254,Explorations in Economic History
0000000255,Nuclear Engineering and Design
0000000256,Chinese Chemical Letters
0000000257,International Journal of Approximate Reasoning
0000000258,Biomaterials
0000000259,Scripta Materialia
0000000260,Ceramics International
0000000261,Computers and Chemical Engineering
0000000262,Cellular Signalling
0000000263,First Language
0000000264,Technological Forecasting and Social Change
0000000265,Land Use Policy
0000000266,International Journal of Extreme Manufacturing
0000000267,Journal of Experimental Child Psychology
0000000268,Current Opinion in Structural Biology
0000000269,Journal of Nuclear Materials
0000000270,Hydrometallurgy
0000000271,Journal of Geometry and Physics
0000000272,Optical and Quantum Electronics
0000000273,Automatica
0000000274,Materials Letters
0000000275,Ocean Modelling
0000000276,Computers and Structures
0000000277,Computational Visual Media
0000000278,"Circuits, Systems, and Signal Processing"
0000000279,Robotics and Computer-Integrated Manufacturing
0000000280,Advanced Powder Materials
0000000281,Journal of the American Ceramic Society
0000000282,International Journal of Impact Engineering
0000000283,Qualitative Theory of Dynamical Systems
0000000284,Life Science Alliance
0000000285,Underground Space (China)
0000000286,Journal of Performance of Constructed Facilities
0000000287,Computational Statistics and Data Analysis
0000000288,Differential Geometry and its Application
0000000289,Decision Support Systems
0000000290,Radiation Physics and Chemistry
0000000291,Future Generation Computer Systems
0000000292,Biomedical Signal Processing and Control
0000000293,Surface and Coatings Technology
0000000294,British Journal of Nutrition
0000000295,Powder Technology
0000000296,Journal of Cleaner Production
0000000297,Measurement: Journal of the International Measurement Confederation
0000000298,Journal of Algebra and its Applications
0000000299,Building and Environment
0000000300,Composites Science and Technology
0000000301,Applied Acoustics
0000000302,Agricultural Water Management
0000000303,Electrochimica Acta
0000000304,Environmental Pollution
0000000305,Forest Ecology and Management
0000000306,International Journal of Hydrogen Energy
0000000307,iScience
0000000308,Energy Conversion and Management
0000000309,Journal of Applied Polymer Science
0000000310,Energy and Buildings
0000000311,Discrete Applied Mathematics
0000000312,STAR Protocols
0000000313,Ocean Engineering
0000000314,Monthly Notices of the Royal Astronomical Society
0000000315,Construction and Building Materials
0000000316,Engineering Fracture Mechanics
0000000317,Angewandte Chemie - International Edition
0000000318,Environmental Research Letters
0000000319,Science and Technology of Food Industry
0000000320,TrAC - Trends in Analytical Chemistry
0000000321,Energy Strategy Reviews
0000000322,Wear
0000000323,Structures
0000000324,Astrophysical Journal Letters
0000000325,Quantum Information Processing
0000000326,Tectonophysics
0000000327,Chip
0000000328,Innovation
0000000329,Journal of Environmental Management
0000000330,Climatic Change
0000000331,European Journal of Pharmacology
0000000332,Journal of Materials Research and Technology
0000000333,Journal of Grid Computing
0000000334,Results in Physics
0000000335,Journal of Hydrology
0000000336,IEEE Transactions on Pattern Analysis and Machine Intelligence
0000000337,Energy Storage Materials
0000000338,Meitiandizhi Yu Kantan/Coal Geology and Exploration
0000000339,Chemosphere
0000000340,Molecular Catalysis
0000000341,Ecotoxicology and Environmental Safety
0000000342,Nuclear Fusion
0000000343,Materials Science and Engineering: A
0000000344,Ear and Hearing
0000000345,Journal of Environmental Economics and Management
0000000346,Astronomical Journal
0000000347,International Communications in Heat and Mass Transfer
0000000348,Telematics and Informatics Reports
0000000349,Transportation Research Part C: Emerging Technologies
0000000350,Journal of Urban Economics
0000000351,Journal of Biological Chemistry
0000000352,Image and Vision Computing
0000000353,Materials Today Energy
0000000354,IAES International Journal of Artificial Intelligence
0000000355,eBioMedicine
0000000356,ISPRS Journal of Photogrammetry and Remote Sensing
0000000357,Briefings in Bioinformatics
0000000358,International Journal of Imaging Systems and Technology
0000000359,Environment International
0000000360,Thermal Science and Engineering Progress
0000000361,International Journal of Biological Macromolecules
0000000362,Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology
0000000363,IEEE Power Electronics Magazine
0000000364,Resources Policy
0000000365,Journal of Business Research
0000000366,Computer Communications
0000000367,Materials Today Communications
0000000368,Clinical Epidemiology and Global Health
0000000369,Innovative Food Science and Emerging Technologies
0000000370,Technology in Society
0000000371,Free Radical Biology and Medicine
0000000372,Physica A: Statistical Mechanics and its Applications
0000000373,Surfaces and Interfaces
0000000374,Environmental Impact Assessment Review
0000000375,Science China Information Sciences
0000000376,Jurnal Teknologi
0000000377,Journal of Water Process Engineering
0000000378,Electricity Journal
0000000379,Biomedicine and Pharmacotherapy
0000000380,Bioresource Technology
0000000381,Materialia
0000000382,Habitat International
0000000383,Applied Soft Computing
0000000384,"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics"
0000000385,eClinicalMedicine
0000000386,Materials Characterization
0000000387,Astrodynamics
0000000388,Results in Engineering
0000000389,International Journal of Plasticity
0000000390,Case Studies in Thermal Engineering
0000000391,Medicine and Science in Sports and Exercise
0000000392,Food and Bioproducts Processing
0000000393,Journal of Information Security and Applications
0000000394,Computers in Biology and Medicine
0000000395,Journal of the American Medical Informatics Association
0000000396,Nonlinearity
0000000397,Information Sciences
0000000398,Earth-Science Reviews
0000000399,Environmental Science and Pollution Research
0000000400,Geophysical Journal International
0000000401,Big Data Mining and Analytics
0000000402,Applied Ocean Research
0000000403,Journal of Membrane Science
0000000404,Journal of Molecular Neuroscience
0000000405,Biomass and Bioenergy
0000000406,Urban Forestry and Urban Greening
0000000407,Journal of Molecular Liquids
0000000408,Infrared Physics and Technology
0000000409,Computers and Industrial Engineering
0000000410,Translational Oncology
0000000411,Nano Research
0000000412,Molecular Metabolism
0000000413,Journal of the Association of Environmental and Resource Economists
0000000414,Finance Research Letters
0000000415,Journal of Industrial Information Integration
0000000416,Journal of biomechanical engineering
0000000417,Journal of Econometrics
0000000418,European Journal of Radiology
0000000419,Applied Spectroscopy
0000000420,Computer Networks
0000000421,Intelligent Systems with Applications
0000000422,Geography and Sustainability
0000000423,Reviews in Medical Virology
0000000424,Journal of Network and Computer Applications
0000000425,Biotechnology Advances
0000000426,Journal of Visual Communication and Image Representation
0000000427,Journal of Biomechanical Engineering
0000000428,Matter and Radiation at Extremes
0000000429,Journal of Geometric Analysis
0000000430,Fire Safety Journal
0000000431,Transportation Research Part D: Transport and Environment
0000000432,Annals of Physics
0000000433,Economic Analysis and Policy
0000000434,Transportation Research Part E: Logistics and Transportation Review
0000000435,Surface Topography: Metrology and Properties
0000000436,Acta Psychologica
0000000437,Progress in Polymer Science
0000000438,Alexandria Engineering Journal
0000000439,Energy Nexus
0000000440,Applications in Engineering Science
0000000441,Cement and Concrete Research
0000000442,International Biodeterioration and Biodegradation
0000000443,Energy Reviews
0000000444,Building Simulation
0000000445,International Journal of Refrigeration
0000000446,Superconductivity
0000000447,International Journal for the Semiotics of Law
0000000448,Urology Case Reports
0000000449,SSM - Population Health
0000000450,Water Resources Management
0000000451,Cement and Concrete Composites
0000000452,Nonlinear Differential Equations and Applications
0000000453,Intermetallics
0000000454,Journal of Structural Engineering (United States)
0000000455,Materials Futures
0000000456,Acta Psychiatrica Scandinavica
0000000457,Developments in the Built Environment
0000000458,Acta Materialia
0000000459,"Computers, Environment and Urban Systems"
0000000460,"Science China: Physics, Mechanics and Astronomy"
0000000461,International Journal of Geomechanics
0000000462,International Journal of Machine Tools and Manufacture
0000000463,International Review of Economics and Finance
0000000464,Applied Clay Science
0000000465,Applications in Energy and Combustion Science
0000000466,IEEE Transactions on Information Theory
0000000467,BioEssays
0000000468,Atmospheric Environment
0000000469,Agricultural and Forest Meteorology
0000000470,Poultry Science
0000000471,Materials Science and Engineering: B
0000000472,International Journal of Food Science and Technology
0000000473,"Sustainable Energy, Grids and Networks"
0000000474,Ocean and Coastal Management
0000000475,BIT Numerical Mathematics
0000000476,Journal of Transportation Engineering Part A: Systems
0000000477,Nutrition
0000000478,IEEE Transactions on Computers
0000000479,Vacuum
0000000480,Biochemical Engineering Journal
0000000481,Computers and Security
0000000482,Research Policy
0000000483,Remote Sensing of Environment
0000000484,Transport Policy
0000000485,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
0000000486,Muscle and Nerve
0000000487,Biosensors and Bioelectronics
0000000488,IEEE Transactions on Visualization and Computer Graphics
0000000489,Cities
0000000490,Journal of Contingencies and Crisis Management
0000000491,International Review of Financial Analysis
0000000492,Geoenergy Science and Engineering
0000000493,Earthquake Engineering and Structural Dynamics
0000000494,Experimental Thermal and Fluid Science
0000000495,Advances in Space Research
0000000496,Mathematics and Mechanics of Solids
0000000497,Neural Computing and Applications
0000000498,Computer Physics Communications
0000000499,Renewable and Sustainable Energy Reviews
0000000500,AIChE Journal
0000000501,Materials Science in Semiconductor Processing
0000000502,Food Science and Human Wellness
0000000503,International Review of Law and Economics
0000000504,Obesity Reviews
0000000505,COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering
0000000506,Geophysical Prospecting
0000000507,Eco-Environment and Health
0000000508,International Journal of Human Computer Studies
0000000509,Rare Metals
0000000510,International Journal of Engine Research
0000000511,Chinese Journal of Integrative Medicine
0000000512,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
0000000513,Journal of Hospitality and Tourism Management
0000000514,Information and Software Technology
0000000515,Journal of Number Theory
0000000516,"Signal, Image and Video Processing"
0000000517,Soft Computing
0000000518,Advances in Manufacturing
0000000519,Chemistry Africa
0000000520,International Journal of Fuzzy Systems
0000000521,Canadian Journal of Chemical Engineering
0000000522,Landslides
0000000523,Computer-Aided Civil and Infrastructure Engineering
0000000524,Interdisciplinary Sciences – Computational Life Sciences
0000000525,Plant Foods for Human Nutrition
0000000526,Archives of Computational Methods in Engineering
0000000527,International Journal of Computer Vision
0000000528,Food Control
0000000529,Journal of Applied Electrochemistry
0000000530,Applied Spatial Analysis and Policy
0000000531,Emerging Contaminants
0000000532,VLDB Journal
0000000533,Urban Affairs Review
0000000534,Journal of Supercomputing
0000000535,European Radiology
0000000536,Psychology in the Schools
0000000537,Measurement and Control (United Kingdom)
0000000538,International Journal of Precision Engineering and Manufacturing - Green Technology
0000000539,Innovation and Green Development
0000000540,Empirical Economics
0000000541,IEEE Transactions on Knowledge and Data Engineering
