START_ID,END_ID
2-s2.0-85172677069,2-s2.0-85171991792
2-s2.0-85179161067,2-s2.0-85182475629
2-s2.0-85185685452,2-s2.0-85176316602
2-s2.0-85183004093,2-s2.0-85178441941
2-s2.0-85151396362,2-s2.0-85181685202
2-s2.0-85173178422,2-s2.0-85177479751
2-s2.0-85185880684,2-s2.0-85180500113
2-s2.0-85179796585,2-s2.0-85180500113
2-s2.0-85166215068,2-s2.0-85179617179
2-s2.0-85146344427,2-s2.0-85182029381
2-s2.0-85167439924,2-s2.0-85180709676
2-s2.0-85185219046,2-s2.0-85179583742
2-s2.0-85171697132,2-s2.0-85179583742
2-s2.0-85161017339,2-s2.0-85166328634
2-s2.0-85171334931,2-s2.0-85164424784
2-s2.0-85182698935,2-s2.0-85181976138
2-s2.0-85177218932,2-s2.0-85184157338
2-s2.0-85185856241,2-s2.0-85181104701
2-s2.0-85174958981,2-s2.0-85178379004
2-s2.0-85185830288,2-s2.0-85179482695
2-s2.0-85164742906,2-s2.0-85179581620
2-s2.0-85180416136,2-s2.0-85176908121
2-s2.0-85180443168,2-s2.0-85168599159
2-s2.0-85161975847,2-s2.0-85164225854
2-s2.0-85168583656,2-s2.0-85164225854
2-s2.0-85170411875,2-s2.0-85164225854
2-s2.0-85183889285,2-s2.0-85178446936
2-s2.0-85178657283,2-s2.0-85181532008
2-s2.0-85159058098,2-s2.0-85160022758
2-s2.0-85169937384,2-s2.0-85160022758
2-s2.0-85179955710,2-s2.0-85175571986
2-s2.0-85182261880,2-s2.0-85175571986
2-s2.0-85183448676,2-s2.0-85175571986
2-s2.0-85137036595,2-s2.0-85175571986
2-s2.0-85165300527,2-s2.0-85175571986
2-s2.0-85173074255,2-s2.0-85175571986
2-s2.0-85163529656,2-s2.0-85175571986
2-s2.0-85179301486,2-s2.0-85175571986
2-s2.0-85159445875,2-s2.0-85175571986
2-s2.0-85173147385,2-s2.0-85163531154
2-s2.0-85172776986,2-s2.0-85163531154
2-s2.0-85162874874,2-s2.0-85181521733
2-s2.0-85183998170,2-s2.0-85183046144
2-s2.0-85164217613,2-s2.0-85182595909
2-s2.0-85183661432,2-s2.0-85178589649
2-s2.0-85185573436,2-s2.0-85174342747
2-s2.0-85184419137,2-s2.0-85174342747
2-s2.0-85150218275,2-s2.0-85181829943
2-s2.0-85167394390,2-s2.0-85178382349
2-s2.0-85182096496,2-s2.0-85178382349
2-s2.0-85184040297,2-s2.0-85174346484
2-s2.0-85181396183,2-s2.0-85178575606
2-s2.0-85174528319,2-s2.0-85181916852
