START_ID,END_ID
2-s2.0-85182825734,10015897
2-s2.0-85182825734,38084634
2-s2.0-85182825734,61251023
2-s2.0-85185502827,58982680
2-s2.0-85185502827,26292435
2-s2.0-85185502827,55731498
2-s2.0-85185486376,91836054
2-s2.0-85185486376,28748329
2-s2.0-85185486376,76072715
2-s2.0-85185666260,72662350
2-s2.0-85185666260,39743137
2-s2.0-85185666260,28807421
2-s2.0-85183608237,24329334
2-s2.0-85183608237,28735095
2-s2.0-85183608237,55001960
2-s2.0-85183730967,24329334
2-s2.0-85183730967,13586827
2-s2.0-85183730967,20489044
2-s2.0-85185144310,52325511
2-s2.0-85185144310,28735095
2-s2.0-85185144310,59444562
2-s2.0-85184415531,45194676
2-s2.0-85184415531,50758719
2-s2.0-85184415531,99787028
2-s2.0-85183353537,36120293
2-s2.0-85183353537,19079128
2-s2.0-85183353537,40327897
2-s2.0-85185109820,10015897
2-s2.0-85185109820,40121648
2-s2.0-85185109820,29945130
2-s2.0-85182696492,36120293
2-s2.0-85182696492,40171316
2-s2.0-85182696492,87520328
2-s2.0-85183001474,46616072
2-s2.0-85183001474,91149052
2-s2.0-85183001474,60060599
2-s2.0-85186113186,77643637
2-s2.0-85186113186,70114060
2-s2.0-85186113186,37817163
2-s2.0-85185398111,94610960
2-s2.0-85185398111,63380026
2-s2.0-85185398111,88358627
2-s2.0-85182989848,36120293
2-s2.0-85182989848,27938998
2-s2.0-85182989848,34138533
2-s2.0-85184731613,62439746
2-s2.0-85184731613,63418163
2-s2.0-85184731613,99952420
2-s2.0-85182656908,15476798
2-s2.0-85182656908,80281020
2-s2.0-85182656908,56338908
2-s2.0-85183014619,53341591
2-s2.0-85183014619,40970047
2-s2.0-85183014619,94939953
2-s2.0-85185499350,58647779
2-s2.0-85185499350,40121648
2-s2.0-85185499350,95873247
2-s2.0-85185665553,16416084
2-s2.0-85185665553,75421412
2-s2.0-85185665553,40121648
2-s2.0-85183817305,32131649
2-s2.0-85183817305,35300949
2-s2.0-85183817305,40860853
2-s2.0-85184368036,58211965
2-s2.0-85184368036,92085882
2-s2.0-85184368036,96383882
2-s2.0-85185932800,16416084
2-s2.0-85185932800,67698318
2-s2.0-85185932800,73661725
2-s2.0-85185930748,31457648
2-s2.0-85185930748,30697392
2-s2.0-85185930748,79369128
2-s2.0-85182608806,32389343
2-s2.0-85182608806,77571842
2-s2.0-85182608806,19146679
2-s2.0-85185309439,45904699
2-s2.0-85185309439,85756509
2-s2.0-85185309439,46145745
2-s2.0-85185243583,34021629
2-s2.0-85185243583,38589276
2-s2.0-85185243583,70666326
2-s2.0-85183043610,54466356
2-s2.0-85183043610,81075515
2-s2.0-85183043610,78140146
2-s2.0-85185123631,39502940
2-s2.0-85185123631,43056198
2-s2.0-85185123631,10132495
2-s2.0-85184951441,26563109
2-s2.0-85184951441,30318372
2-s2.0-85184951441,62795476
2-s2.0-85185238934,28735095
2-s2.0-85185238934,65136855
2-s2.0-85185238934,78140146
2-s2.0-85185695691,44858890
2-s2.0-85185695691,43598995
2-s2.0-85185695691,99836858
2-s2.0-85183740821,51099123
2-s2.0-85183740821,51759605
2-s2.0-85183740821,95548596
2-s2.0-85183383309,46616072
2-s2.0-85183383309,73826681
2-s2.0-85183383309,64559235
2-s2.0-85183640977,24329334
2-s2.0-85183640977,35846034
2-s2.0-85183640977,50758719
2-s2.0-85185278097,50758719
2-s2.0-85185278097,47801627
2-s2.0-85185278097,52422721
2-s2.0-85182997448,53536921
2-s2.0-85182997448,82689222
2-s2.0-85182997448,49629084
2-s2.0-85183448796,24253452
2-s2.0-85183448796,48881324
2-s2.0-85183448796,39207494
2-s2.0-85182860492,28735095
2-s2.0-85182860492,81755945
2-s2.0-85182860492,50758719
2-s2.0-85182852472,89574060
2-s2.0-85182852472,18553275
2-s2.0-85182852472,57749576
2-s2.0-85183803256,17284655
2-s2.0-85183803256,85841657
2-s2.0-85183803256,48663214
2-s2.0-85185517909,84415746
2-s2.0-85185517909,55449349
2-s2.0-85185517909,74056566
2-s2.0-85185396395,92085882
2-s2.0-85185396395,69423528
2-s2.0-85185396395,66570576
2-s2.0-85183034647,27915187
2-s2.0-85183034647,46615719
2-s2.0-85183034647,50758719
2-s2.0-85182822548,45241722
2-s2.0-85182822548,19130579
2-s2.0-85182822548,62918792
2-s2.0-85185497191,79102332
2-s2.0-85185497191,17416153
2-s2.0-85185497191,19945215
2-s2.0-85185407075,44858890
2-s2.0-85185407075,17728075
2-s2.0-85185407075,11240516
2-s2.0-85184122079,16616872
2-s2.0-85184122079,68245533
2-s2.0-85184122079,50758719
2-s2.0-85185206767,44858890
2-s2.0-85185206767,55725899
2-s2.0-85185206767,59087469
2-s2.0-85183388175,44858890
2-s2.0-85183388175,36120293
2-s2.0-85183388175,65309261
2-s2.0-85183021686,24766617
2-s2.0-85183021686,79990365
2-s2.0-85183021686,92984422
2-s2.0-85184674680,49812606
2-s2.0-85184674680,50758719
2-s2.0-85184674680,77777607
2-s2.0-85183032071,40121648
2-s2.0-85183032071,41679493
2-s2.0-85183032071,69463361
2-s2.0-85183057099,25327800
2-s2.0-85183057099,53536921
2-s2.0-85183057099,40121648
2-s2.0-85184270676,69178157
2-s2.0-85184270676,88961197
2-s2.0-85184270676,29084173
