START_ID,END_ID
2-s2.0-85185823986,197283.0
2-s2.0-85185222456,175805.0
2-s2.0-85186076109,197227.0
2-s2.0-85184614009,196866.0
2-s2.0-85184303769,196770.0
2-s2.0-85184298154,196770.0
2-s2.0-85184314892,196700.0
2-s2.0-85184355979,196945.0
2-s2.0-85183080307,196450.0
2-s2.0-85183076145,196450.0
2-s2.0-85186140005,197410.0
2-s2.0-85186090702,307899.0
2-s2.0-85185707334,306349.0
2-s2.0-85185704181,307709.0
2-s2.0-85185704737,307709.0
2-s2.0-85185720707,306079.0
2-s2.0-85185713586,307839.0
2-s2.0-85185826947,307849.0
2-s2.0-85185611840,197205.0
2-s2.0-85185845579,307899.0
2-s2.0-85185710763,307709.0
2-s2.0-85185708604,197332.0
2-s2.0-85185841559,307899.0
2-s2.0-85185706143,307709.0
2-s2.0-85185719267,307709.0
2-s2.0-85185710858,307709.0
2-s2.0-85185817519,307709.0
2-s2.0-85185726800,197257.0
2-s2.0-85185709000,307709.0
2-s2.0-85185824433,307849.0
2-s2.0-85185716049,197332.0
2-s2.0-85185713295,307709.0
2-s2.0-85185720538,307709.0
2-s2.0-85185825881,307849.0
2-s2.0-85185707376,307709.0
2-s2.0-85185703329,307709.0
2-s2.0-85185719643,307709.0
2-s2.0-85185725253,307709.0
2-s2.0-85185724721,306349.0
2-s2.0-85185706395,307709.0
2-s2.0-85185721296,307709.0
2-s2.0-85185608998,197205.0
2-s2.0-85185726035,307709.0
2-s2.0-85185813366,307709.0
2-s2.0-85185717329,197332.0
2-s2.0-85185708360,197332.0
2-s2.0-85185845688,307899.0
2-s2.0-85185709968,307709.0
2-s2.0-85185837146,307849.0
2-s2.0-85185709283,307709.0
2-s2.0-85185714181,307709.0
2-s2.0-85185597838,197205.0
2-s2.0-85185393694,197066.0
2-s2.0-85185596167,197205.0
2-s2.0-85185580611,197205.0
2-s2.0-85185597913,197205.0
2-s2.0-85185405992,197066.0
2-s2.0-85184796955,306609.0
2-s2.0-85184856371,197043.0
2-s2.0-85184854601,197043.0
2-s2.0-85184664741,197004.0
2-s2.0-85184616179,196864.0
2-s2.0-85184315878,196662.0
2-s2.0-85184295550,304889.0
2-s2.0-85184283703,196672.0
2-s2.0-85184280272,196461.0
2-s2.0-85184281710,306809.0
2-s2.0-85184280065,306079.0
2-s2.0-85184281428,306809.0
2-s2.0-85184284569,306079.0
2-s2.0-85184282301,306859.0
2-s2.0-85184287025,306809.0
2-s2.0-85184283648,306809.0
2-s2.0-85184133177,306749.0
2-s2.0-85184151205,196726.0
