START_ID,journal,volume,year,END_ID
2-s2.0-85182825734,Health Information Science and Systems,12,2024,0
2-s2.0-85184294976,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85185942630,Nature Communications,15,2024,2
2-s2.0-85185502827,Nano-Micro Letters,16,2024,3
2-s2.0-85185486376,Nature Communications,15,2024,2
2-s2.0-85185666260,Nature Communications,15,2024,2
2-s2.0-85183608237,Aging Clinical and Experimental Research,36,2024,4
2-s2.0-85183730967,Scientific Reports,14,2024,5
2-s2.0-85185144310,npj Clean Water,7,2024,6
2-s2.0-85184415531,Communications Biology,7,2024,7
2-s2.0-85183612104,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85183353537,Nature Communications,15,2024,2
2-s2.0-85185109820,Nature Communications,15,2024,2
2-s2.0-85182696492,Journal of Experimental and Clinical Cancer Research,43,2024,8
2-s2.0-85183001474,Nature Communications,15,2024,2
2-s2.0-85186113186,Nature Communications,15,2024,2
2-s2.0-85185953088,Nature Communications,15,2024,2
2-s2.0-85182641662,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85185398111,International Journal of Computational Intelligence Systems,17,2024,9
2-s2.0-85184457029,Scientific Reports,14,2024,5
2-s2.0-85182989848,Nature Communications,15,2024,2
2-s2.0-85184731613,Nature Communications,15,2024,2
2-s2.0-85182656908,Nature Communications,15,2024,2
2-s2.0-85183014619,Nature Communications,15,2024,2
2-s2.0-85185499350,Nature Communications,15,2024,2
2-s2.0-85185665553,Scientific Reports,14,2024,5
2-s2.0-85183817305,Nature Communications,15,2024,2
2-s2.0-85184368036,Journal of Cloud Computing,13,2024,10
2-s2.0-85185932800,Cell Discovery,10,2024,11
2-s2.0-85185930748,Light: Science and Applications,13,2024,12
2-s2.0-85182608806,npj Regenerative Medicine,9,2024,13
2-s2.0-85185309439,Nano-Micro Letters,16,2024,3
2-s2.0-85185243583,Nature Communications,15,2024,2
2-s2.0-85183043610,Malaria Journal,23,2024,14
2-s2.0-85185123631,Nature Communications,15,2024,2
2-s2.0-85184951441,Journal of Cloud Computing,13,2024,10
2-s2.0-85185238934,BMC Health Services Research,24,2024,15
2-s2.0-85185695691,Nature Communications,15,2024,2
2-s2.0-85183740821,Nano-Micro Letters,16,2024,3
2-s2.0-85185594715,Communications in Transportation Research,4,2024,16
2-s2.0-85183383309,Nature Communications,15,2024,2
2-s2.0-85184248747,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85183640977,BMC Public Health,24,2024,17
2-s2.0-85185278097,BMC Public Health,24,2024,17
2-s2.0-85182997448,Nature Communications,15,2024,2
2-s2.0-85183448796,Nature Communications,15,2024,2
2-s2.0-85182860492,Scientific Reports,14,2024,5
2-s2.0-85182852472,npj Quantum Information,10,2024,18
2-s2.0-85183803256,BMC Pulmonary Medicine,24,2024,19
2-s2.0-85185517909,Journal of Cloud Computing,13,2024,10
2-s2.0-85185396395,Journal of Cloud Computing,13,2024,10
2-s2.0-85183034647,World Journal of Surgical Oncology,22,2024,20
2-s2.0-85182822548,Nature Communications,15,2024,2
2-s2.0-85185497191,npj Digital Medicine,7,2024,21
2-s2.0-85185407075,Scientific Data,11,2024,22
2-s2.0-85184122079,Genome Biology,25,2024,23
2-s2.0-85185206767,Scientific Data,11,2024,22
2-s2.0-85183388175,BMC Genomics,25,2024,24
2-s2.0-85183021686,Nature Communications,15,2024,2
2-s2.0-85184674680,Clinical and Experimental Medicine,24,2024,25
2-s2.0-85183032071,Scientific Reports,14,2024,5
2-s2.0-85183057099,Nature Communications,15,2024,2
2-s2.0-85184270676,BMC Medicine,22,2024,26
2-s2.0-85185455424,Nature Communications,15,2024,2
2-s2.0-85183434269,Humanities and Social Sciences Communications,11,2024,1
2-s2.0-85185979605,Nature Communications,15,2024,2
2-s2.0-85185915447,Nano Convergence,11,2024,27
2-s2.0-85183020493,European Radiology Experimental,8,2024,28
2-s2.0-85184219087,EJNMMI Research,14,2024,29
2-s2.0-85185522197,Nature Communications,15,2024,2
2-s2.0-85183387773,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,10,2024,30
2-s2.0-85185135484,Clinical and Experimental Medicine,24,2024,25
2-s2.0-85183631176,Nature Communications,15,2024,2
2-s2.0-85183655005,Nature Communications,15,2024,2
2-s2.0-85184110555,Nature Communications,15,2024,2
2-s2.0-85185131100,Nature Communications,15,2024,2
2-s2.0-85183786792,Nature Communications,15,2024,2
2-s2.0-85182840590,Nature Communications,15,2024,2
2-s2.0-85184105521,Nature Communications,15,2024,2
2-s2.0-85183792036,Scientific Reports,14,2024,5
2-s2.0-85182499878,Genome Biology,25,2024,23
2-s2.0-85182698964,Communications in Transportation Research,4,2024,16
2-s2.0-85182696785,Scientific Reports,14,2024,5
2-s2.0-85185502177,Scientific Reports,14,2024,5
2-s2.0-85185272179,Journal of Chinese Sociology,11,2024,31
2-s2.0-85182684565,Nature Communications,15,2024,2
2-s2.0-85185540777,Journal of Cloud Computing,13,2024,10
2-s2.0-85185237420,Nature Communications,15,2024,2
2-s2.0-85182981752,Scientific Reports,14,2024,5
2-s2.0-85185916796,Experimental Hematology and Oncology,13,2024,32
2-s2.0-85184268537,Nanomanufacturing and Metrology,7,2024,33
2-s2.0-85185974339,Nature Communications,15,2024,2
2-s2.0-85185496295,Scientific Reports,14,2024,5
2-s2.0-85183607198,Nature Communications,15,2024,2
