authorId,authorUrl,authorName
aut0,6391996,Evan Bolyen
aut1,6307534,J. Rideout
aut2,40950692,Matthew R. Dillon
aut3,4230536,Nicholas A. Bokulich
aut4,5538503,C. Abnet
aut5,1402012502,Gabriel A. Al-Ghalith
aut6,39168440,Harriet Alexander
aut7,1777308,E. Alm
aut8,144893958,Manimozhiyan Arumugam
aut9,3088847,F. Asnicar
aut10,2115297093,Yang Bai
aut11,39497753,J. Bisanz
aut12,2027458,K. Bittinger
aut13,4347079,A. Brejnrod
aut14,4373110,Colin J. Brislawn
aut15,2107517217,C. T. Brown
aut16,2923325,B. Callahan
aut17,1401984320,A. Caraballo-Rodríguez
aut18,4011830,John H. Chase
aut19,36248090,Emily K. Cope
aut20,39269675,R. D. da Silva
aut21,48958834,C. Diener
aut22,2975900,P. Dorrestein
aut23,144528092,G. Douglas
aut24,5307931,D. Durall
aut25,32381467,C. Duvallet
aut26,31909725,C. Edwardson
aut27,144110054,Madeleine Ernst
aut28,6199292,M. Estaki
aut29,4324350,Jennifer T. Fouquier
aut30,147069795,J. Gauglitz
aut31,6533031,S. Gibbons
aut32,2252110423,D. Gibson
aut33,144359100,Antonio Gonzalez
aut34,84717638,Kestrel Gorlick
aut35,5409083,Jiarong Guo
aut36,32326419,Benjamin M Hillmann
aut37,32750186,S. Holmes
aut38,51357334,H. Holste
aut39,2194791,C. Huttenhower
aut40,2306305,G. Huttley
aut41,1938854376,Stefan Janssen
aut42,4376295,A. Jarmusch
aut43,14215968,Lingjing Jiang
aut44,51396990,Benjamin D. Kaehler
aut45,144664874,K. Kang
aut46,1410118534,Christopher R. Keefe
aut47,1978283,P. Keim
aut48,2654622,S. Kelley
aut49,144064820,D. Knights
aut50,48888354,I. Koester
aut51,2395456,T. Kosciólek
aut52,1410137287,Jorden Kreps
aut53,144015417,M. Langille
aut54,48174487,Joslynn S. Lee
aut55,145061660,R. Ley
aut56,2186737813,Yong-xin Liu
aut57,4244834,E. Loftfield
aut58,2345044,C. Lozupone
aut59,8504175,Massoud Maher
aut60,3968465,C. Marotz
aut61,152943696,Bryan D. Martin
aut62,145345295,Daniel McDonald
aut63,1854342,L. McIver
aut64,145073266,A. Melnik
aut65,47746992,J. Metcalf
aut66,32552772,S. C. Morgan
aut67,34024444,James T. Morton
aut68,1410137379,Ahmad Turan Naimey
aut69,1401282143,Jose A Navas-Molina
aut70,10790574,Louis-Félix Nothias
aut71,51403558,Stephanie B. Orchanian
aut72,21366050,Talima R. Pearson
aut73,1414102859,Samuel L. Peoples
aut74,4019733,D. Petráš
aut75,6845076,M. Preuss
aut76,2079716,E. Pruesse
aut77,84419869,Lasse Buur Rasmussen
aut78,6103924,A. Rivers
aut79,31808306,M. Robeson
aut80,145394064,P. Rosenthal
aut81,47429813,N. Segata
aut82,49576568,Michael Shaffer
aut83,4379902,A. Shiffer
aut84,145604360,R. Sinha
aut85,3931190,Se Jin Song
aut86,5725804,J. Spear
aut87,5084447,Austin D. Swafford
aut88,24195448,Luke R. Thompson
aut89,47263947,P. Torres
aut90,49368223,Pauline Trinh
aut91,143863611,A. Tripathi
aut92,2404698,P. Turnbaugh
aut93,1404856444,Sabah Ul-Hasan
aut94,5460194,J. V. D. van der Hooft
aut95,123107351,Fernando Vargas
aut96,1398440330,Y. Vázquez-Baeza
aut97,6346734,E. Vogtmann
aut98,150237239,Max von Hippel
aut99,47178580,William Walters
aut100,38899048,Yunhu Wan
aut101,1949898,Mingxun Wang
aut102,50294532,Jonathan Warren
aut103,51914702,Kyle C. Weber
aut104,36633883,C. H. Williamson
aut105,145511581,A. Willis
aut106,31733281,Z. Xu
