conferenceId,conferenceUrl,conferenceTitle,conferenceProceedingIds
con0,fc0a208c-acb7-47dc-a0d4-af8190e21d29,International Conference on Machine Learning,pro0
con1,b55b50b1-aae7-47a7-b042-8aecc930073d,International Conference on Human Factors in Computing Systems,pro1
con2,a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,International Conference on Software Engineering,pro2
con3,a0edb93b-1e95-4128-a295-6b1659149cef,Knowledge Discovery and Data Mining,pro3
con4,528ced1f-e949-4e1a-8fee-2ffbf0be551d,Conference on Innovative Data Systems Research,pro4
con5,2c9ecac6-f875-4a9b-acc2-10bd9f6782df,Technical Symposium on Computer Science Education,pro5
con6,d732841e-83f9-49ec-95ca-389e5568634b,Annual Conference on Genetic and Evolutionary Computation,pro6
con7,c85dfc25-bcef-4719-9997-f41ad334d998,International Symposium on Intelligent Data Analysis,pro7
con8,a88140cf-3ca8-46c2-b1f7-446f137cf336,Frontiers in Education Conference,pro8
con9,07ba6a02-fa13-4c5f-b428-795730d75e53,Big Data,pro9
con10,42b29bb0-699b-4502-8619-053ee5448d54,Americas Conference on Information Systems,pro10
con11,16e8a264-580d-4f0b-ac5a-bba591b2d18d,European Conference on Modelling and Simulation,pro11
con12,d22e4663-ebe7-4164-9230-8ad579a735a1,The Compass,pro12
con13,9c1ac4fb-5b0d-4c77-8dd9-fb9b7375be4d,IEEE Symposium on Visual Languages / Human-Centric Computing Languages and Environments,pro13
con14,d8ec66ab-0083-4a4d-bf44-ce85d2daad69,Hawaii International Conference on System Sciences,pro14
con15,bf8c915b-282b-4817-987d-62e47e42d5e1,Pacific Symposium on Biocomputing,pro15
con16,770f1d88-52c2-43dc-a897-6881e70b2f32,International Conference on Data Science and Advanced Analytics,pro16
con17,070a8b94-9234-4a39-bff0-23e0c6b74464,International Conference on Statistical and Scientific Database Management,pro17
con18,440bcee8-1bdc-4957-a227-182d81a49740,International Conference on Exploring Services Science,pro18
con19,46990654-eb6c-4674-96bc-ba905dab2a86,International Conference on Conceptual Structures,pro19
con20,3c2dd17d-6c11-4bb6-9d01-1fc2064cb8df,ACM Conference on Economics and Computation,pro20
con21,84cc6785-24f2-48e0-a7a0-e2c86d22239d,Research Conference of the South African Institute of Computer Scientists and Information Technologists,pro21
con22,e4e999b7-2be0-4bd0-ad3b-7afd3fe50a4d,Grid Computing Environments,pro22
con23,14d0272a-18b8-4a25-834b-cf3b120b226f,International Conference on Open and Big Data,pro23
con24,dea8d7a8-c89e-4de9-bde3-0787594a055f,International Conference on Data Technologies and Applications,pro24
con25,7bb54772-a70c-44df-9b9d-9f3b5354c0e2,IEEE International Parallel and Distributed Processing Symposium,pro25
con26,9c119da6-ab17-4403-854e-786882dbf352,Decision Support Systems,pro26
