journalId,journalUrl,journalTitle,journalVolumeIds
jou0,458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology,vol0
jou1,759663ae-c1b4-41ef-9231-384ab473d4b4,Journal of Organizational and End User Computing,vol1
jou2,0a96e67f-c1f1-491d-ab41-4c2c50b523a2,Genome Research,vol2
jou3,c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering,vol3
jou4,7a7dc89b-e1a6-44df-a496-46c330a87840,SN Computer Science,vol4
jou5,41dbb273-8d18-4a45-8154-852882a37b34,Genome Biology,vol5
jou6,d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data,vol6
jou7,099483df-e8f2-4bee-805d-8a69f07b6cbf,Nature Methods,vol7
jou8,b3a217d4-f456-4394-9e5b-b39ab19d1b3e,Irish Journal of Medical Science,vol8
jou9,f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews,vol9
jou10,c2a5f1b5-0985-40d1-a768-3a736af75f5e,Journal of Surgical Oncology,vol10
jou11,4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,Communications of the ACM,vol11
jou12,c3875580-2cce-4a95-a094-fff60bb381b9,International Journal of Data Science and Analysis,vol12
jou13,3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence,vol13
jou14,6fff9d04-a29e-4e37-87e8-27e06da9055c,Journal on spesial topics in mobile networks and applications,vol14
jou15,79af09a2-54e8-4f97-8edf-9fba208ab744,International Journal of Digital Earth,vol15
jou16,4d899b46-b5c8-436e-8ce3-084673ea8905,Big Data & Society,vol16
jou17,1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,IEEE Transactions on Signal Processing,vol17
jou18,62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data,vol18
jou19,7fac555d-41ef-410c-9c84-ed584a9cff7f,Journal of Geographical Systems,vol19
jou20,961301b0-6f5a-44a6-9216-54b673cded78,Journal of Statistics and Data Science Education,vol20
