keyword,paperId
Engineering,pap0
Medicine,pap0
Physics,pap1
ComputerScience,pap2
Sociology,pap3
ComputerScience,pap3
ComputerScience,pap4
ComputerScience,pap5
Medicine,pap6
ComputerScience,pap7
Medicine,pap8
ComputerScience,pap9
ComputerScience,pap10
Medicine,pap10
ComputerScience,pap11
Medicine,pap12
ComputerScience,pap12
Biology,pap13
Medicine,pap13
ComputerScience,pap14
Mathematics,pap14
ComputerScience,pap15
Medicine,pap16
ComputerScience,pap16
Medicine,pap17
ComputerScience,pap18
Medicine,pap19
MaterialsScience,pap20
Chemistry,pap20
Medicine,pap20
Physics,pap20
ComputerScience,pap20
ComputerScience,pap21
Mathematics,pap21
Engineering,pap21
ComputerScience,pap22
Medicine,pap23
ComputerScience,pap25
ComputerScience,pap26
Medicine,pap27
Business,pap28
Medicine,pap28
ComputerScience,pap29
Mathematics,pap29
ComputerScience,pap30
Medicine,pap30
ComputerScience,pap31
Medicine,pap32
ComputerScience,pap32
ComputerScience,pap33
ComputerScience,pap34
Engineering,pap36
ComputerScience,pap36
ComputerScience,pap37
ComputerScience,pap38
ComputerScience,pap39
Mathematics,pap39
Medicine,pap40
ComputerScience,pap40
ComputerScience,pap41
Psychology,pap41
ComputerScience,pap42
Mathematics,pap42
ComputerScience,pap43
ComputerScience,pap44
ComputerScience,pap45
Economics,pap45
ComputerScience,pap46
ComputerScience,pap47
Engineering,pap48
Engineering,pap49
ComputerScience,pap50
Medicine,pap51
Psychology,pap51
ComputerScience,pap51
ComputerScience,pap52
Economics,pap52
Sociology,pap53
ComputerScience,pap54
Mathematics,pap54
Medicine,pap54
Physics,pap55
ComputerScience,pap56
ComputerScience,pap57
Mathematics,pap57
Medicine,pap58
ComputerScience,pap59
Engineering,pap61
ComputerScience,pap62
History,pap63
Medicine,pap63
ComputerScience,pap64
ComputerScience,pap65
Engineering,pap66
Engineering,pap67
ComputerScience,pap68
ComputerScience,pap69
ComputerScience,pap70
Business,pap71
Medicine,pap73
ComputerScience,pap73
Sociology,pap74
ComputerScience,pap74
Engineering,pap75
ComputerScience,pap76
Medicine,pap77
ComputerScience,pap77
Sociology,pap78
ComputerScience,pap79
Sociology,pap79
Biology,pap80
Medicine,pap80
ComputerScience,pap81
Medicine,pap82
ComputerScience,pap82
Geography,pap83
EnvironmentalScience,pap85
ComputerScience,pap86
Medicine,pap87
ComputerScience,pap88
ComputerScience,pap90
Medicine,pap90
ComputerScience,pap91
PoliticalScience,pap92
ComputerScience,pap93
ComputerScience,pap94
Mathematics,pap94
Business,pap95
ComputerScience,pap95
ComputerScience,pap96
PoliticalScience,pap97
Engineering,pap98
Psychology,pap99
ComputerScience,pap100
Mathematics,pap100
PoliticalScience,pap101
ComputerScience,pap101
ComputerScience,pap102
Medicine,pap103
Physics,pap103
Sociology,pap104
ComputerScience,pap104
ComputerScience,pap105
ComputerScience,pap106
Engineering,pap106
ComputerScience,pap107
ComputerScience,pap108
Medicine,pap109
ComputerScience,pap111
Physics,pap112
ComputerScience,pap113
Mathematics,pap114
ComputerScience,pap114
ComputerScience,pap115
Medicine,pap116
ComputerScience,pap116
ComputerScience,pap117
Medicine,pap117
Psychology,pap117
ComputerScience,pap118
Sociology,pap118
Medicine,pap119
ComputerScience,pap119
Medicine,pap120
ComputerScience,pap120
ComputerScience,pap121
Medicine,pap122
Sociology,pap122
ComputerScience,pap123
Mathematics,pap123
Physics,pap124
Biology,pap124
ComputerScience,pap125
Medicine,pap126
Business,pap126
ComputerScience,pap127
ComputerScience,pap128
ComputerScience,pap129
Engineering,pap130
Medicine,pap130
Engineering,pap131
ComputerScience,pap131
ComputerScience,pap132
Mathematics,pap132
ComputerScience,pap133
Medicine,pap133
ComputerScience,pap134
ComputerScience,pap135
ComputerScience,pap136
ComputerScience,pap137
MaterialsScience,pap138
ComputerScience,pap138
Medicine,pap138
Engineering,pap139
Sociology,pap140
ComputerScience,pap141
Sociology,pap141
ComputerScience,pap142
Medicine,pap143
Psychology,pap143
ComputerScience,pap144
ComputerScience,pap145
ComputerScience,pap146
ComputerScience,pap147
Sociology,pap148
ComputerScience,pap149
ComputerScience,pap150
ComputerScience,pap151
Sociology,pap152
ComputerScience,pap153
Medicine,pap153
ComputerScience,pap154
ComputerScience,pap155
Engineering,pap155
ComputerScience,pap156
ComputerScience,pap157
ComputerScience,pap158
Medicine,pap158
ComputerScience,pap159
ComputerScience,pap160
ComputerScience,pap161
PoliticalScience,pap161
Medicine,pap161
ComputerScience,pap162
Medicine,pap163
ComputerScience,pap163
Physics,pap164
ComputerScience,pap164
Medicine,pap164
Engineering,pap165
ComputerScience,pap166
ComputerScience,pap167
ComputerScience,pap168
ComputerScience,pap169
ComputerScience,pap170
Mathematics,pap171
ComputerScience,pap171
ComputerScience,pap172
