conferenceJournalId,proceedingsVolumeIds
jou0,vol0
con77,pro77
con27,pro27
con20,pro20
con0,pro0
con85,pro85
con107,pro107
jou1,vol1
con92,pro92
con26,pro26
jou2,vol2
jou3,vol3
jou4,vol4
jou5,vol5
con9,pro9
jou6,vol6
jou7,vol7
jou6,vol6
con1,pro1
jou8,vol8
jou9,vol9
con4,pro4
con2,pro2
jou10,vol10
con78,pro78
jou11,vol11
jou12,vol12
con18,pro18
con77,pro77
con34,pro34
jou13,vol13
con96,pro96
con41,pro41
jou14,vol14
con32,pro32
con67,pro67
jou15,vol15
con76,pro76
jou16,vol16
jou17,vol17
jou18,vol18
con44,pro44
jou19,vol19
con1,pro1
con83,pro83
jou12,vol12
con108,pro108
con3,pro3
jou20,vol20
con6,pro6
con86,pro86
jou21,vol21
jou3,vol3
con97,pro97
jou22,vol22
con69,pro69
jou23,vol23
jou20,vol20
jou24,vol24
con4,pro4
con17,pro17
jou20,vol20
con97,pro97
jou25,vol25
jou11,vol11
jou26,vol26
con73,pro73
con26,pro26
con1,pro1
con4,pro4
jou27,vol27
jou28,vol28
jou29,vol29
jou30,vol30
con50,pro50
jou31,vol31
jou32,vol32
jou33,vol33
jou34,vol34
jou35,vol35
jou5,vol5
con32,pro32
jou36,vol36
con62,pro62
jou37,vol37
con54,pro54
jou38,vol38
jou39,vol39
jou37,vol37
con73,pro73
con50,pro50
con5,pro5
jou40,vol40
con86,pro86
jou41,vol41
jou16,vol16
jou42,vol42
jou43,vol43
con56,pro56
con45,pro45
jou3,vol3
jou44,vol44
jou11,vol11
con53,pro53
con41,pro41
con6,pro6
con108,pro108
con7,pro7
jou45,vol45
jou46,vol46
con71,pro71
jou47,vol47
con106,pro106
jou12,vol12
con29,pro29
con8,pro8
con40,pro40
jou48,vol48
jou49,vol49
jou22,vol22
con9,pro9
con68,pro68
jou50,vol50
con50,pro50
con5,pro5
con5,pro5
jou51,vol51
con2,pro2
jou52,vol52
jou53,vol53
con96,pro96
con10,pro10
con88,pro88
jou53,vol53
con11,pro11
con62,pro62
jou12,vol12
con59,pro59
con21,pro21
con4,pro4
jou54,vol54
con12,pro12
con57,pro57
jou55,vol55
con96,pro96
jou56,vol56
con30,pro30
con4,pro4
con60,pro60
con13,pro13
con75,pro75
con14,pro14
jou57,vol57
con21,pro21
con9,pro9
con30,pro30
con89,pro89
con5,pro5
con82,pro82
con90,pro90
con83,pro83
con15,pro15
jou58,vol58
jou59,vol59
jou22,vol22
con13,pro13
jou11,vol11
jou58,vol58
con16,pro16
con69,pro69
con94,pro94
jou60,vol60
con82,pro82
con98,pro98
con20,pro20
jou61,vol61
jou62,vol62
con68,pro68
con27,pro27
con77,pro77
con47,pro47
con78,pro78
con17,pro17
jou63,vol63
con105,pro105
con99,pro99
jou64,vol64
con20,pro20
con91,pro91
jou65,vol65
con100,pro100
con18,pro18
con6,pro6
con66,pro66
jou66,vol66
con59,pro59
con30,pro30
con18,pro18
con3,pro3
jou40,vol40
con90,pro90
con85,pro85
con59,pro59
con82,pro82
con9,pro9
con98,pro98
con9,pro9
con99,pro99
con82,pro82
con31,pro31
con63,pro63
